OpCode	TapeReader	Depth	Comment	Info5Name	Info5Value	Info6Name	Info6Value	Info7Name	Info7Value	Info8Name	Info8Value	Info9Name	Info9Value	Info10Name	Info10Value	Info11Name	Info11Value	Info12Name	Info12Value
NCB561	Emma Thillainath	12.4		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.344937	Longitude	115.500575	Location	N Montes Sanctuary	Status	NoTake	Site		Visibility	5.5	DateTimeIn	2014 10 30 07:31:00
NCB592	Emma Thillainath	8.3		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.515420	Longitude	115.565037	Location	SE Montes Sanctuary	Status	NoTake	Site		Visibility	5	DateTimeIn	2014 10 30 13:55:00
NCB541	Matthew Birt	10.3		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.457313	Longitude	115.463510	Location	SW Montes Sanctuary	Status	NoTake	Site		Visibility	4.5	DateTimeIn	2014 10 29 13:02:00
NCB599	Emma Thillainath	8.6		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.590348	Longitude	115.579902	Location	SE Montes	Status	Fished	Site		Visibility	6.5	DateTimeIn	2014 10 30 14:27:00
NCB587	Matthew Birt	10.5		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.472068	Longitude	115.580147	Location	SE Montes Sanctuary	Status	NoTake	Site		Visibility	5.5	DateTimeIn	2014 10 30 12:08:00
NCB549	Katrina Bornt	8.6		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.415988	Longitude	115.491330	Location	NW Montes	Status	Fished	Site		Visibility	4.5	DateTimeIn	2014 10 29 13:33:00
NCB577	Emma Thillainath	11.1		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.412343	Longitude	115.595562	Location	NE Montes	Status	Fished	Site		Visibility	7.5	DateTimeIn	2014 10 30 09:56:00
NCB600	Emma Thillainath	12		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.599537	Longitude	115.577133	Location	SE Montes	Status	Fished	Site		Visibility	6.5	DateTimeIn	2014 10 30 14:33:00
NCB564	Emma Thillainath	10.9		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.342325	Longitude	115.524050	Location	N Montes Sanctuary	Status	NoTake	Site		Visibility	6.5	DateTimeIn	2014 10 30 07:46:00
NCB522	Matthew Birt	10.6		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.608262	Longitude	115.436625	Location	SW Montes	Status	Fished	Site		Visibility	4.5	DateTimeIn	2014 10 29 08:15:00
NCB550	Todd Bond	10.2		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.409093	Longitude	115.489727	Location	NW Montes	Status	Fished	Site		Visibility	4	DateTimeIn	2014 10 29 13:39:00
NCB544	Katrina Bornt	9.4		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.440360	Longitude	115.473022	Location	SW Montes Sanctuary	Status	NoTake	Site		Visibility	4	DateTimeIn	2014 10 29 13:11:00
NCB595	Emma Thillainath	10.5		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.543220	Longitude	115.571978	Location	SE Montes Sanctuary	Status	NoTake	Site		Visibility	6	DateTimeIn	2014 10 30 14:08:00
NCB539	Todd Bond	10.4		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.492743	Longitude	115.447543	Location	SW Montes Sanctuary	Status	NoTake	Site		Visibility	5	DateTimeIn	2014 10 29 11:15:00
NCB543	Matthew Birt	9.5		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.446377	Longitude	115.467467	Location	SW Montes Sanctuary	Status	NoTake	Site		Visibility	5	DateTimeIn	2014 10 29 13:07:00
NCB586	Matthew Birt	11.9		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.463918	Longitude	115.585482	Location	SE Montes Sanctuary	Status	NoTake	Site		Visibility	6	DateTimeIn	2014 10 30 12:04:00
NCB602	Emma Thillainath	8.2		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.617625	Longitude	115.575513	Location	SE Montes	Status	Fished	Site		Visibility	5.5	DateTimeIn	2014 10 30 15:48:00
NCB540	Todd Bond	10.4		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.484590	Longitude	115.452368	Location	SW Montes Sanctuary	Status	NoTake	Site		Visibility	4	DateTimeIn	2014 10 29 11:19:00
NCB590	Emma Thillainath	8.9		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.494867	Longitude	115.563562	Location	SE Montes Sanctuary	Status	NoTake	Site		Visibility	6.5	DateTimeIn	2014 10 30 12:02:00
NCB574	Emma Thillainath	9.3		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.397860	Longitude	115.587692	Location	NE Montes	Status	Fished	Site		Visibility	5	DateTimeIn	2014 10 30 09:49:00
NCB583	Katrina Bornt	9.9		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.435793	Longitude	115.588908	Location	SE Montes Sanctuary	Status	NoTake	Site		Visibility	4.5	DateTimeIn	2014 10 30 11:52:00
NCB534	Todd Bond	8		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.512637	Longitude	115.480137	Location	SW Montes Sanctuary	Status	NoTake	Site		Visibility	5.5	DateTimeIn	2014 10 29 10:48:00
NCB555	Emma Thillainath	9.5		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.377498	Longitude	115.497327	Location	NW Montes	Status	Fished	Site		Visibility	4.5	DateTimeIn	2014 10 29 15:32:00
NCB537	Todd Bond	10.1		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.513513	Longitude	115.449553	Location	SW Montes Sanctuary	Status	NoTake	Site		Visibility	5.5	DateTimeIn	2014 10 29 11:05:00
NCB597	Emma Thillainath	9.4		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.570627	Longitude	115.580673	Location	SE Montes	Status	Fished	Site		Visibility	6.5	DateTimeIn	2014 10 30 14:18:00
NCB569	Matthew Birt	11.9		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.371520	Longitude	115.568968	Location	NE Montes	Status	Fished	Site		Visibility	6	DateTimeIn	2014 10 30 08:09:00
NCB589	Emma Thillainath	11.9		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.486645	Longitude	115.568957	Location	SE Montes Sanctuary	Status	NoTake	Site		Visibility	6	DateTimeIn	2014 10 30 12:15:00
NCB554	Emma Thillainath	12.3		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.383440	Longitude	115.492087	Location	NW Montes	Status	Fished	Site		Visibility	4.5	DateTimeIn	2014 10 29 15:28:00
NCB566	Emma Thillainath	9.1		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.351702	Longitude	115.544652	Location	N Montes Sanctuary	Status	NoTake	Site		Visibility	7.5	DateTimeIn	2014 10 30 07:56:00
NCB582	Katrina Bornt	11.8		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.438640	Longitude	115.597590	Location	SE Montes Sanctuary	Status	NoTake	Site		Visibility	4	DateTimeIn	2014 10 30 11:47:00
NCB584	Katrina Bornt	11.5		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.446290	Longitude	115.585962	Location	SE Montes Sanctuary	Status	NoTake	Site		Visibility	4	DateTimeIn	2014 10 30 11:56:00
NCB546	Todd Bond	9.7		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.428278	Longitude	115.478225	Location	NW Montes	Status	Fished	Site		Visibility	6	DateTimeIn	2014 10 29 13:02:00
NCB531	Todd Bond	9.2		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.537423	Longitude	115.445803	Location	SW Montes Sanctuary	Status	NoTake	Site		Visibility	3.5	DateTimeIn	2014 10 29 10:21:00
NCB557	Emma Thillainath	8.3		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.365797	Longitude	115.498375	Location	N Montes Sanctuary	Status	NoTake	Site		Visibility	7	DateTimeIn	2014 10 29 15:44:00
NCB558	Katrina Bornt	11.5		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.360983	Longitude	115.501918	Location	N Montes Sanctuary	Status	NoTake	Site		Visibility	4.5	DateTimeIn	2014 10 29 15:47:00
NCB538	Todd Bond	10		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.503515	Longitude	115.444893	Location	SW Montes Sanctuary	Status	NoTake	Site		Visibility	4.5	DateTimeIn	2014 10 29 11:01:00
NCB530	Katrina Bornt	11.1		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.560510	Longitude	115.430407	Location	SW Montes	Status	Fished	Site		Visibility	4	DateTimeIn	2014 10 29 08:55:00
NCB573	Emma Thillainath	11.5		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.393320	Longitude	115.584035	Location	NE Montes	Status	Fished	Site		Visibility	5	DateTimeIn	2014 10 30 09:46:00
NCB598	Emma Thillainath	8.1		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.581952	Longitude	115.580693	Location	SE Montes	Status	Fished	Site		Visibility	6	DateTimeIn	2014 10 30 14:24:00
NCB521	Matthew Birt	10.6		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.613357	Longitude	115.436002	Location	SW Montes	Status	Fished	Site		Visibility	4	DateTimeIn	2014 10 29 08:12:00
NCB578	Matthew Birt	8.7		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.417557	Longitude	115.598655	Location	NE Montes	Status	Fished	Site		Visibility	6.5	DateTimeIn	2014 10 30 10:00:00
NCB565	Emma Thillainath	12.7		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.345615	Longitude	115.534683	Location	N Montes Sanctuary	Status	NoTake	Site		Visibility	8	DateTimeIn	2014 10 30 07:52:00
NCB572	Katrina Bornt	11.9		CampaignID	2014_10_Montes.sanctuaries_stereoBRUVs	Latitude	-20.387692	Longitude	115.581155	Location	NE Montes	Status	Fished	Site		Visibility	5.5	DateTimeIn	2014 10 30 09:44:00
