OpCode	TapeReader	Depth	Comment	Info5Name	Info5Value	Info6Name	Info6Value	Info7Name	Info7Value	Info8Name	Info8Value	Info9Name	Info9Value	Info10Name	Info10Value	Info11Name	Info11Value	Info12Name	Info12Value
8.02	Charlotte Aston	76																	
8.05	Charlotte Aston	61																	
8.06	Charlotte Aston	61																	
8.07	Charlotte Aston	63																	
8.12	Charlotte Aston	95																	
9.01	Charlotte Aston																		
9.02	Todd Bond																		
9.05	Charlotte Aston																		
9.06	Todd Bond																		
9.07	Todd Bond																		
9.08	Todd Bond																		
