OpCode	TapeReader	Depth	Comment	Info5Name	Info5Value	Info6Name	Info6Value	Info7Name	Info7Value	Info8Name	Info8Value	Info9Name	Info9Value	Info10Name	Info10Value	Info11Name	Info11Value	Info12Name	Info12Value
3_2	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
3_3	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
3_4	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
3_5	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
3_6	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
40_1	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
40_2	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
40_3	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
40_4	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
40_5	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
40_6	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
41_1	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
41_2	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
41_3	ashlee b			Lights		Substrate CATAMI	white	Biota CATAMI											
41_4	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
41_5	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
41_6	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
42_1	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
42_2	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
42_3	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
42_4	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
42_5	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
42_6	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
43_1	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
43_2	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
43_3	ashlee b			Lights		Substrate CATAMI	white	Biota CATAMI											
43_4	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
43_5	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
43_6	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
44_1	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
44_2	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
44_3	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
44_4	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
44_5	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
44_6	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
4_1	NFH			Lights		Substrate CATAMI		Biota CATAMI											
4_2	NFH			Lights		Substrate CATAMI		Biota CATAMI											
4_3	NFH			Lights		Substrate CATAMI		Biota CATAMI											
4_4	NFH			Lights		Substrate CATAMI		Biota CATAMI											
4_5	NFH			Lights		Substrate CATAMI		Biota CATAMI											
4_6	NFH			Lights		Substrate CATAMI		Biota CATAMI											
5_1	NFH																		
5_2	NFH																		
5_3	NFH																		
5_4	NFH																		
5_5	NFH																		
5_6	NFH																		
6_1	NFH																		
6_2	NFH																		
6_3	NFH																		
6_4	NFH																		
6_5	NFH																		
6_6	NFH																		
75_1	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
75_2	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
75_3	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
76_1	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
76_2	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
76_3	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
77_1	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
77_2	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
77_3	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
78_1	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
79_1	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
79_2	ashle b			Lights	white	Substrate CATAMI		Biota CATAMI											
79_3	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
7_1	NFH																		
7_2	NFH																		
7_4	NFH																		
7_5	NFH																		
7_6	NFH																		
80_1	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
80_2	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
80_3	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
80_4	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
81_1	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
81_2	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
81_3	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
81_4	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
8_1	NFH																		
8_2	NFH																		
8_3	NFH																		
8_4	NFH																		
8_5	NFH																		
8_6	NFH																		
9_1	NFH																		
9_2	NFH																		
9_3	NFH																		
9_4	NFH																		
9_5	NFH																		
9_6	NFH			Lights		Substrate CATAMI		Biota CATAMI											
Exp_1	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
Exp_2	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
Exp_3	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
Exp_4	ashlee b			Lights	white	Substrate CATAMI		Biota CATAMI											
